,Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
167,querencieaj,0.0007680491551459293,5.7684828978497574e-05,0.14201090853436094,0.007495722242781214
308,almondmilkies,0.0007680491551459293,3.275200008497816e-05,0.1408573903242443,0.002931981570429919
259,matchaawa,0.0007680491551459293,2.0237351023478655e-05,0.13262799105949663,0.004597436617298831
276,tingkiwingki21,0.0007680491551459293,1.9501377920980218e-05,0.1408256155914845,0.003308115144864932
201,acahikun,0.0007680491551459293,1.650231211262532e-05,0.1371742372922546,0.002982713519763061
321,bapakdomba,0.0007680491551459293,1.3532384147758022e-05,0.12150252119833607,0.0021820522238361986
168,vkfluffy,0.0007680491551459293,1.0129243620511716e-05,0.12063380752020304,0.002457575381658485
327,vminenths,0.0007680491551459293,8.478245927377269e-06,0.13465917901575727,0.004699339203858713
223,ambisssaaa,0.0007680491551459293,2.950630638286321e-06,0.0015681003584229393,4.6973590534817656e-73
140,jenoactrus,0.0007680491551459293,1.7703783829717926e-06,0.0012000768049155147,5.059780999483716e-78
132,billah_bambu,0.0007680491551459293,1.7703783829717926e-06,0.0011760752688172043,2.5139502732100015e-73
251,tubirfess,0.0007680491551459293,1.1802522553145284e-06,0.0012000768049155147,7.438082709049597e-76
139,funnytummy_,0.0007680491551459293,1.1802522553145284e-06,0.0010667349377026798,1.093430262475509e-77
232,boutjinan,0.0007680491551459293,1.1802522553145284e-06,0.0010667349377026798,1.093430262475509e-77
302,reikqmiya,0.0007680491551459293,1.1802522553145284e-06,0.0010240655401945725,2.320227129873908e-80
257,jie_noona15,0.0007680491551459293,1.1802522553145284e-06,0.0009600614439324117,3.6761460785216574e-78
216,cursedkidd,0.0007680491551459293,8.851891914858963e-07,0.1374460488588839,0.0025180915392213985
129,angelyxc1,0.0007680491551459293,8.851891914858963e-07,0.0010240655401945725,8.309163359902432e-79
153,lisambis,0.0007680491551459293,8.851891914858963e-07,0.0010240655401945725,8.309163359902432e-79
197,studysyx,0.0007680491551459293,8.851891914858963e-07,0.0010240655401945725,8.309163359902432e-79
329,pemudalusi,0.0007680491551459293,8.851891914858963e-07,0.0010240655401945725,8.309163359902432e-79
162,koyuudayo,0.0007680491551459293,8.851891914858963e-07,0.0008777704630239192,2.00937563702066e-80
333,cerephaka,0.0007680491551459293,8.851891914858963e-07,0.0008777704630239192,2.00937563702066e-80
124,subeeobin,0.0007680491551459293,5.901261276572642e-07,0.0008640552995391705,4.709559490596548e-82
125,nurhidazenius,0.0007680491551459293,5.901261276572642e-07,0.0008640552995391705,4.709559490596548e-82
303,ancoraimparo___,0.0007680491551459293,5.901261276572642e-07,0.0008640552995391705,4.709559490596548e-82
337,pdkxbxj,0.0007680491551459293,5.901261276572642e-07,0.0008640552995391705,4.709559490596548e-82
121,mbakjenniekim,0.0007680491551459293,2.950630638286321e-07,0.0007680491551459293,3.2981631418286344e-85
123,marktermeloo_n,0.0007680491551459293,2.950630638286321e-07,0.0007680491551459293,3.2981631418286344e-85
127,mccnphase,0.0007680491551459293,2.950630638286321e-07,0.0007680491551459293,3.2981631418286344e-85
133,adelaydens,0.0007680491551459293,2.950630638286321e-07,0.0007680491551459293,3.2981631418286344e-85
